CountyFIP,State Name,County Name,Poverty Rate,Median Income
35005,New Mexico,Chaves County,19.2,51441
20161,Kansas,Riley County,19.2,56333
51121,Virginia,Montgomery County,19.3,62418
18035,Indiana,Delaware County,19.4,46612
42101,Pennsylvania,Philadelphia County,19.4,55102
48347,Texas,Nacogdoches County,19.5,49375
41035,Oregon,Klamath County,19.7,49675
48479,Texas,Webb County,19.9,56588
54011,West Virginia,Cabell County,19.9,44161
24510,Maryland,Baltimore city,20,51485
26163,Michigan,Wayne County,20,51777
40119,Oklahoma,Payne County,20.1,39681
22105,Louisiana,Tangipahoa Parish,20.1,47272
13185,Georgia,Lowndes County,20.3,48864
01101,Alabama,Montgomery County,20.4,49607
35013,New Mexico,Doña Ana County,20.5,46547
45085,South Carolina,Sumter County,20.5,45724
13031,Georgia,Bulloch County,20.7,48629
18167,Indiana,Vigo County,20.7,45897
48375,Texas,Potter County,20.8,45903
29510,Missouri,St. Louis city,20.8,45773
22017,Louisiana,Caddo Parish,20.9,43216
13215,Georgia,Muscogee County,21.1,44959
22071,Louisiana,Orleans Parish,21.1,51704
37195,North Carolina,Wilson County,21.2,44089
35045,New Mexico,San Juan County,21.5,44261
54081,West Virginia,Raleigh County,21.8,44526
39009,Ohio,Athens County,22,42215
47113,Tennessee,Madison County,22.2,47580
48041,Texas,Brazos County,22.3,53570
22045,Louisiana,Iberia Parish,22.5,50449
28075,Mississippi,Lauderdale County,22.5,44821
22097,Louisiana,St. Landry Parish,22.6,39153
39145,Ohio,Scioto County,22.8,44297
04017,Arizona,Navajo County,23.3,46698
22073,Louisiana,Ouachita Parish,23.7,45251
48215,Texas,Hidalgo County,23.9,46653
12107,Florida,Putnam County,24.3,36527
36005,New York,Bronx County,24.4,44906
48061,Texas,Cameron County,24.4,44440
13059,Georgia,Clarke County,24.6,46693
28035,Mississippi,Forrest County,24.9,42082
13245,Georgia,Richmond County,25.5,43942
28049,Mississippi,Hinds County,25.9,44671
37155,North Carolina,Robeson County,26.6,39139
13095,Georgia,Dougherty County,27.4,40793
13021,Georgia,Bibb County,28,44467
35031,New Mexico,McKinley County,32,35659
04001,Arizona,Apache County,32.4,36319
